"marginalCOPP","n","landing","coverage"
"BDG",9,0,1
"BRG",326,0,0.938650306748466
"CRS",50,0,0.7
"ERK",323,6444,0.938080495356037
"MNT",108,0,0.916666666666667
"MRO",138,2014,0.898550724637681
"OSF",29,15228,0.827586206896552
"HKL",110,20839,0.945454545454545
"NET",6,0,1
"TWL",867,2847,0.91118800461361
"1978",124,0,0.870967741935484
"1979",102,0,1
"1980",271,19234,0.885608856088561
"1981",237,0,0.915611814345992
"1982",249,4452,0.93574297188755
"Q1",162,0,0.969135802469136
"Q2",289,15228,0.86159169550173
"Q3",340,7833,0.891176470588235
"Q4",192,625,0.994791666666667
