species,year,n,landing,coverage
ARRA,1978,57,3478898,0.912280701754386
ARRA,1980,61,8149536,0.721311475409836
ARRA,1981,42,4796164,0.928571428571429
ARRA,1982,50,3841230,0.44
BANK,1978,57,3478898,0.807017543859649
BANK,1980,61,8149536,0.983606557377049
BANK,1981,42,4796164,0.761904761904762
BANK,1982,50,3841230,0.72
BCAC,1978,57,3478898,0.754385964912281
BCAC,1980,61,8149536,0.540983606557377
BCAC,1981,42,4796164,0.5
BCAC,1982,50,3841230,0.76
BLGL,1978,57,3478898,0.964912280701754
BLGL,1980,61,8149536,0.983606557377049
BLGL,1981,42,4796164,0.976190476190476
BLGL,1982,50,3841230,0.74
BLUR,1978,57,3478898,0.859649122807018
BLUR,1980,61,8149536,0.819672131147541
BLUR,1981,42,4796164,0.642857142857143
BLUR,1982,50,3841230,0.94
BRWN,1978,57,3478898,0.087719298245614
BRWN,1980,61,8149536,0.295081967213115
BRWN,1981,42,4796164,0.642857142857143
BRWN,1982,50,3841230,0.74
CLPR,1978,57,3478898,0.789473684210526
CLPR,1980,61,8149536,0.672131147540984
CLPR,1981,42,4796164,0.69047619047619
CLPR,1982,50,3841230,0.66
CNRY,1978,57,3478898,0.701754385964912
CNRY,1980,61,8149536,0.868852459016393
CNRY,1981,42,4796164,0.880952380952381
CNRY,1982,50,3841230,0.98
CWCD,1978,57,3478898,0.666666666666667
CWCD,1980,61,8149536,0.983606557377049
CWCD,1981,42,4796164,0.976190476190476
CWCD,1982,50,3841230,0.98
DBRK,1978,57,3478898,0.824561403508772
DBRK,1980,61,8149536,0.557377049180328
DBRK,1981,42,4796164,0.69047619047619
DBRK,1982,50,3841230,0.62
EGLS,1978,57,3478898,0.333333333333333
EGLS,1980,61,8149536,0.295081967213115
EGLS,1981,42,4796164,0.357142857142857
EGLS,1982,50,3841230,0
FLAG,1978,57,3478898,0.403508771929825
FLAG,1980,61,8149536,0.377049180327869
FLAG,1981,42,4796164,0.357142857142857
FLAG,1982,50,3841230,0.78
GBLC,1978,57,3478898,0.701754385964912
GBLC,1980,61,8149536,0.573770491803279
GBLC,1981,42,4796164,0.761904761904762
GBLC,1982,50,3841230,0.36
GSPT,1978,57,3478898,0.912280701754386
GSPT,1980,61,8149536,0.918032786885246
GSPT,1981,42,4796164,0.928571428571429
GSPT,1982,50,3841230,0.98
GSRK,1978,57,3478898,0.929824561403509
GSRK,1980,61,8149536,0.852459016393443
GSRK,1981,42,4796164,0.976190476190476
GSRK,1982,50,3841230,0.96
KLPG,1978,57,3478898,0.315789473684211
KLPG,1980,61,8149536,0.573770491803279
KLPG,1981,42,4796164,0.714285714285714
KLPG,1982,50,3841230,0.42
LCOD,1978,57,3478898,0.789473684210526
LCOD,1980,61,8149536,0.934426229508197
LCOD,1981,42,4796164,1
LCOD,1982,50,3841230,1
OLVE,1978,57,3478898,0.43859649122807
OLVE,1980,61,8149536,0.60655737704918
OLVE,1981,42,4796164,0.833333333333333
OLVE,1982,50,3841230,0.72
PNKR,1978,57,3478898,0.456140350877193
PNKR,1980,61,8149536,0.262295081967213
PNKR,1981,42,4796164,0.0952380952380952
PNKR,1982,50,3841230,0.24
RDBD,1978,57,3478898,0.491228070175439
RDBD,1980,61,8149536,0.590163934426229
RDBD,1981,42,4796164,0.714285714285714
RDBD,1982,50,3841230,0.52
REX,1978,57,3478898,0.491228070175439
REX,1980,61,8149536,0.311475409836066
REX,1981,42,4796164,0.0952380952380952
REX,1982,50,3841230,0.18
SABL,1978,57,3478898,0.456140350877193
SABL,1980,61,8149536,0.704918032786885
SABL,1981,42,4796164,0.357142857142857
SABL,1982,50,3841230,0.94
SBLY,1978,57,3478898,0.596491228070175
SBLY,1980,61,8149536,0.983606557377049
SBLY,1981,42,4796164,0.976190476190476
SBLY,1982,50,3841230,0.98
SNOS,1978,57,3478898,0.824561403508772
SNOS,1980,61,8149536,0.967213114754098
SNOS,1981,42,4796164,0.880952380952381
SNOS,1982,50,3841230,0.82
SPKL,1978,57,3478898,0.754385964912281
SPKL,1980,61,8149536,0.80327868852459
SPKL,1981,42,4796164,0.880952380952381
SPKL,1982,50,3841230,0.96
SSPN,1978,57,3478898,0.385964912280702
SSPN,1980,61,8149536,0.885245901639344
SSPN,1981,42,4796164,0.880952380952381
SSPN,1982,50,3841230,0.72
STRK,1978,57,3478898,0.789473684210526
STRK,1980,61,8149536,0.934426229508197
STRK,1981,42,4796164,0.976190476190476
STRK,1982,50,3841230,0.92
TIGR,1978,57,3478898,0.368421052631579
TIGR,1980,61,8149536,0.377049180327869
TIGR,1981,42,4796164,0.619047619047619
TIGR,1982,50,3841230,0.54
VRML,1978,57,3478898,0.403508771929825
VRML,1980,61,8149536,0.737704918032787
VRML,1981,42,4796164,0.880952380952381
VRML,1982,50,3841230,0.8
WDOW,1978,57,3478898,0.614035087719298
WDOW,1980,61,8149536,0.80327868852459
WDOW,1981,42,4796164,0.785714285714286
WDOW,1982,50,3841230,0.82
YTRK,1978,57,3478898,0.859649122807018
YTRK,1980,61,8149536,0.950819672131147
YTRK,1981,42,4796164,0.904761904761905
YTRK,1982,50,3841230,0.94
