margCWCD,n,landing,coverage
BDG,9,0,1
BRG,326,19164,0.993865030674847
CRS,50,0,1
ERK,323,0,0.894736842105263
MNT,108,5665,0.981481481481482
MRO,138,79368,0.920289855072464
OSF,29,6027,0.96551724137931
HKL,110,78600,0.909090909090909
NET,6,0,1
TWL,867,31624,0.953863898500577
1978,124,0,0.806451612903226
1979,102,28859,0.872549019607843
1980,271,22193,0.981549815498155
1981,237,21283,0.983122362869198
1982,249,37889,0.983935742971888
Q1,162,8257,0.975308641975309
Q2,289,19263,0.958477508650519
Q3,340,81353,0.902941176470588
Q4,192,1351,0.994791666666667
