margSSPN,n,landing,coverage
BRG,6,0,1
MNT,88,2281,0.772727272727273
MRO,64,49568,0.921875
OSF,52,0,0.307692307692308
HKL,1,0,1
NET,8,0,1
TWL,201,51849,0.696517412935323
1978,57,0,0.385964912280702
1980,61,6144,0.885245901639344
1981,42,24367,0.880952380952381
1982,50,21338,0.72
Q1,43,19057,0.720930232558139
Q2,73,2281,0.753424657534247
Q3,54,0,0.648148148148148
Q4,40,30511,0.7
