"marginalEGLS","n","landing","coverage"
"BRG",6,0,1
"MNT",88,185,0.852272727272727
"MRO",64,0,0.4375
"OSF",52,2368,0.442307692307692
"HKL",1,0,1
"NET",8,0,1
"TWL",201,2553,0.611940298507463
"1978",57,185,0.684210526315789
"1980",61,0,0.688524590163934
"1981",42,0,0.571428571428571
"1982",50,2368,0.54
"Q1",43,0,0.627906976744186
"Q2",73,2368,0.835616438356164
"Q3",54,0,0.37037037037037
"Q4",40,185,0.6
