"marginalBRWN","n","landing","coverage"
"BDG",9,0,0.555555555555556
"BRG",326,4315,0.97239263803681
"CRS",50,0,0.94
"ERK",323,1394,0.96594427244582
"MNT",108,0,0.731481481481482
"MRO",138,144491,0.927536231884058
"OSF",29,35728,0.931034482758621
"HKL",110,35728,0.945454545454545
"NET",6,0,0.5
"TWL",867,150200,0.931949250288351
"1978",124,0,0.870967741935484
"1979",102,0,0.931372549019608
"1980",271,181604,0.988929889298893
"1981",237,2930,0.978902953586498
"1982",249,1394,0.85140562248996
"Q1",162,0,0.901234567901235
"Q2",289,35728,0.910034602076125
"Q3",340,4315,0.958823529411765
"Q4",192,145885,0.9375
