margLSPN,n,landing,coverage
BDG,31,0,1
BRG,420,432,0.921428571428571
CRS,73,0,0.958904109589041
ERK,533,0,0.868667917448405
MNT,249,0,0.951807228915663
MRO,201,0,0.895522388059702
OSF,65,0,0.938461538461538
HKL,128,0,0.90625
NET,24,0,0.875
TWL,1420,432,0.909859154929577
1978,124,163,0.717741935483871
1979,102,0,0.745098039215686
1980,271,269,0.977859778597786
1981,237,0,1
1982,249,0,0.827309236947791
1983,312,0,0.923076923076923
1984,277,0,0.967509025270758
Q1,277,0,0.866425992779783
Q2,441,0,0.877551020408163
Q3,534,269,0.9812734082397
Q4,320,163,0.86875
