margYTRK,n,landing,coverage
BDG,31,29453,0.967741935483871
BRG,420,618531,0.985714285714286
CRS,73,775116,0.849315068493151
ERK,533,1372308,0.945590994371482
MNT,249,1111338,0.951807228915663
MRO,201,317811,0.965174129353234
OSF,65,753210,0.984615384615385
HKL,128,840489,0.9296875
NET,24,1326124,0.75
TWL,1420,2811154,0.963380281690141
1978,124,618089,0.967741935483871
1979,102,154519,0.980392156862745
1980,271,242145,0.974169741697417
1981,237,767033,0.953586497890295
1982,249,654370,0.959839357429719
1983,312,880229,0.96474358974359
1984,277,1661382,0.92057761732852
Q1,277,908869,0.938628158844765
Q2,441,629064,0.972789115646258
Q3,534,2777478,0.958801498127341
Q4,320,662356,0.95
