margSSPN,n,landing,coverage
BDG,1,0,1
BRG,6,0,1
MNT,92,2281,0.869565217391304
MRO,66,49568,0.893939393939394
OSF,63,0,1
HKL,1,0,1
NET,8,0,1
TWL,219,51849,0.91324200913242
1978,57,0,0.807017543859649
1980,61,6144,0.983606557377049
1981,42,24367,0.952380952380952
1982,50,21338,0.9
1983,18,0,1
Q1,45,19057,0.955555555555556
Q2,79,2281,0.987341772151899
Q3,59,0,0.779661016949153
Q4,45,30511,0.933333333333333
