"marginalDBRK","n","landing","coverage"
"BRG",6,0,1
"MNT",88,12714,1
"MRO",64,0,1
"OSF",52,24474,0.980769230769231
"HKL",1,0,1
"NET",8,0,1
"TWL",201,37188,0.995024875621891
"1978",57,5723,1
"1980",61,24474,0.983606557377049
"1981",42,6991,1
"1982",50,0,1
"Q1",43,0,1
"Q2",73,0,1
"Q3",54,5723,1
"Q4",40,31465,0.975
