margPNKR,n,landing,coverage
BRG,6,0,0.166666666666667
MNT,88,745,0.181818181818182
MRO,64,0,0.3125
OSF,52,0,0.307692307692308
HKL,1,0,1
NET,8,0,0.875
TWL,201,745,0.223880597014925
1978,57,745,0.210526315789474
1980,61,0,0.0819672131147541
1981,42,0,0.333333333333333
1982,50,0,0.44
Q1,43,745,0.441860465116279
Q2,73,0,0.246575342465753
Q3,54,0,0.037037037037037
Q4,40,0,0.35
