"marginalCNRY","n","landing","coverage"
"BDG",9,66834,0.888888888888889
"BRG",326,1975794,0.904907975460123
"CRS",50,1398777,0.64
"ERK",323,1577283,0.882352941176471
"MNT",108,20852,0.990740740740741
"MRO",138,100136,0.992753623188406
"OSF",29,7637,0.96551724137931
"HKL",110,132906,0.981818181818182
"NET",6,0,1
"TWL",867,5014407,0.897347174163783
"1978",124,1259855,0.846774193548387
"1979",102,626077,0.941176470588235
"1980",271,615166,0.904059040590406
"1981",237,1146147,0.919831223628692
"1982",249,1500068,0.91566265060241
"Q1",162,848186,0.932098765432099
"Q2",289,1937730,0.906574394463668
"Q3",340,1978133,0.870588235294118
"Q4",192,383264,0.953125
