margQLBK,n,landing,coverage
BDG,9,0,0
BRG,326,232,0.260736196319018
CRS,50,0,0.16
ERK,323,0,0.260061919504644
MNT,108,0,0.194444444444444
MRO,138,0,0.217391304347826
OSF,29,0,0.620689655172414
HKL,110,0,0.227272727272727
NET,6,0,0.166666666666667
TWL,867,232,0.253748558246828
1978,124,232,0.137096774193548
1979,102,0,0.274509803921569
1980,271,0,0.232472324723247
1981,237,0,0.227848101265823
1982,249,0,0.337349397590361
Q1,162,232,0.290123456790123
Q2,289,0,0.238754325259516
Q3,340,0,0.323529411764706
Q4,192,0,0.104166666666667
