margCWCD,n,landing,coverage
BDG,1,0,1
BRG,6,0,1
MNT,92,371,0.978260869565217
MRO,66,11917,0.96969696969697
OSF,63,21861,0.984126984126984
HKL,1,1490,0
NET,8,0,1
TWL,219,32659,0.981735159817352
1978,57,22066,0.964912280701754
1980,61,1490,0.983606557377049
1981,42,10427,0.976190476190476
1982,50,166,0.98
1983,18,0,1
Q1,45,1695,0.955555555555556
Q2,79,21861,0.987341772151899
Q3,59,0,1
Q4,45,10593,0.955555555555556
