margBANK,n,landing,coverage
BRG,6,0,1
MNT,88,1032123,0.727272727272727
MRO,64,437580,0.828125
OSF,52,43313,0.980769230769231
HKL,1,0,1
NET,8,0,1
TWL,201,1513016,0.82089552238806
1978,57,385011,0.807017543859649
1980,61,5164,0.983606557377049
1981,42,670022,0.761904761904762
1982,50,452819,0.72
Q1,43,70292,0.86046511627907
Q2,73,379803,0.767123287671233
Q3,54,503095,0.87037037037037
Q4,40,559826,0.85
