"marginalCOPP","n","landing","coverage"
"BDG",9,0,1
"BRG",326,0,0.938650306748466
"CRS",50,0,1
"ERK",323,6444,0.835913312693498
"MNT",108,0,1
"MRO",138,2014,0.949275362318841
"OSF",29,15228,0.758620689655172
"HKL",110,20839,0.972727272727273
"NET",6,0,1
"TWL",867,2847,0.903114186851211
"1978",124,0,0.879032258064516
"1979",102,0,1
"1980",271,19234,0.96309963099631
"1981",237,0,0.890295358649789
"1982",249,4452,0.855421686746988
"Q1",162,0,0.962962962962963
"Q2",289,15228,0.927335640138408
"Q3",340,7833,0.917647058823529
"Q4",192,625,0.833333333333333
