margMXRF,n,landing,coverage
BDG,9,0,0.333333333333333
BRG,326,15828,0.754601226993865
CRS,50,0,0.38
ERK,323,0,0.195046439628483
MNT,108,0,0.240740740740741
MRO,138,0,0.369565217391304
OSF,29,0,0.793103448275862
HKL,110,0,0.4
NET,6,0,0.333333333333333
TWL,867,15828,0.444059976931949
1978,124,0,0.330645161290323
1979,102,0,0.764705882352941
1980,271,15828,0.642066420664207
1981,237,0,0.286919831223629
1982,249,0,0.281124497991968
Q1,162,0,0.45679012345679
Q2,289,6676,0.332179930795848
Q3,340,9152,0.45
Q4,192,0,0.5625
