"marginalBCAC","n","landing","coverage"
"BDG",9,689945,0.333333333333333
"BRG",326,4401338,0.662576687116564
"CRS",50,570089,0.84
"ERK",323,2934116,0.746130030959752
"MNT",108,2426405,0.62037037037037
"MRO",138,1605793,0.507246376811594
"OSF",29,1665847,0.448275862068966
"HKL",110,906394,0.618181818181818
"NET",6,20053,0.833333333333333
"TWL",867,13367086,0.667820069204152
"1978",124,1320166,0.604838709677419
"1979",102,1408999,0.686274509803922
"1980",271,2700181,0.730627306273063
"1981",237,5193394,0.687763713080169
"1982",249,3670793,0.586345381526104
"Q1",162,3371850,0.666666666666667
"Q2",289,3877067,0.688581314878893
"Q3",340,4274305,0.623529411764706
"Q4",192,2770311,0.692708333333333
