margBRNZ,n,landing,coverage
BDG,9,0,0.777777777777778
BRG,326,0,0.438650306748466
CRS,50,0,0.26
ERK,323,0,0.315789473684211
MNT,108,0,0.12962962962963
MRO,138,766,0.311594202898551
OSF,29,0,0.586206896551724
HKL,110,766,0.309090909090909
NET,6,0,0
TWL,867,0,0.351787773933103
1978,124,0,0.5
1979,102,766,0.284313725490196
1980,271,0,0.383763837638376
1981,237,0,0.392405063291139
1982,249,0,0.204819277108434
Q1,162,0,0.395061728395062
Q2,289,0,0.193771626297578
Q3,340,766,0.467647058823529
Q4,192,0,0.3125
