margTIGR,n,landing,coverage
BRG,6,0,0.166666666666667
MNT,88,0,0.5
MRO,64,0,0.796875
OSF,52,4022,0.326923076923077
HKL,1,0,1
NET,8,0,0.75
TWL,201,4022,0.527363184079602
1978,57,0,0.578947368421053
1980,61,0,0.39344262295082
1981,42,4022,0.761904761904762
1982,50,0,0.48
Q1,43,0,0.720930232558139
Q2,73,0,0.356164383561644
Q3,54,0,0.62962962962963
Q4,40,4022,0.55
