margCLPR,n,landing,coverage
BDG,12,233649,0.583333333333333
BRG,401,6122738,0.498753117206983
CRS,60,18822,0.983333333333333
ERK,459,1571106,0.867102396514161
MNT,163,2111427,0.650306748466258
MRO,164,992478,0.731707317073171
OSF,36,1060218,0.583333333333333
HKL,124,668496,0.782258064516129
NET,14,338263,0.785714285714286
TWL,1157,11103679,0.694036300777874
1978,124,1172492,0.629032258064516
1979,102,2327247,0.568627450980392
1980,271,2560887,0.671586715867159
1981,237,2252765,0.734177215189873
1982,249,1857605,0.738955823293173
1983,312,1939442,0.753205128205128
Q1,228,2334635,0.732456140350877
Q2,390,2687111,0.728205128205128
Q3,437,3854042,0.691075514874142
Q4,240,3234650,0.658333333333333
