margCLPR,n,landing,coverage
BDG,12,233649,1
BRG,401,6122738,0.912718204488778
CRS,60,18822,1
ERK,459,1571106,0.986928104575163
MNT,163,2111427,0.932515337423313
MRO,164,992478,0.969512195121951
OSF,36,1060218,0.916666666666667
HKL,124,668496,0.959677419354839
NET,14,338263,0.928571428571429
TWL,1157,11103679,0.953327571305099
1978,124,1172492,0.983870967741935
1979,102,2327247,0.852941176470588
1980,271,2560887,0.933579335793358
1981,237,2252765,0.957805907172996
1982,249,1857605,0.963855421686747
1983,312,1939442,0.980769230769231
Q1,228,2334635,0.969298245614035
Q2,390,2687111,0.956410256410256
Q3,437,3854042,0.961098398169336
Q4,240,3234650,0.920833333333333
