"marginalREYE","n","landing","coverage"
"BDG",9,0,0.333333333333333
"BRG",326,0,0.493865030674847
"CRS",50,0,0.56
"ERK",323,0,0.30030959752322
"MNT",108,0,0.25
"MRO",138,0,0.427536231884058
"OSF",29,0,0.448275862068966
"HKL",110,0,0.427272727272727
"NET",6,0,0.166666666666667
"TWL",867,0,0.392156862745098
"1978",124,0,0.516129032258065
"1979",102,0,0.313725490196078
"1980",271,0,0.468634686346863
"1981",237,0,0.265822784810127
"1982",249,0,0.409638554216867
"Q1",162,0,0.166666666666667
"Q2",289,0,0.42560553633218
"Q3",340,0,0.523529411764706
"Q4",192,0,0.3125
