"marginalEGLS","n","landing","coverage"
"BRG",6,0,0.5
"MNT",88,185,0.409090909090909
"MRO",64,0,0.21875
"OSF",52,2368,0.461538461538462
"HKL",1,0,0
"NET",8,0,0
"TWL",201,2553,0.383084577114428
"1978",57,185,0.175438596491228
"1980",61,0,0.229508196721311
"1981",42,0,0.428571428571429
"1982",50,2368,0.7
"Q1",43,0,0.418604651162791
"Q2",73,2368,0.575342465753425
"Q3",54,0,0.12962962962963
"Q4",40,185,0.25
