margTIGR,n,landing,coverage
BRG,6,0,0.5
MNT,88,0,0.215909090909091
MRO,64,0,0.375
OSF,52,4022,0.173076923076923
HKL,1,0,1
NET,8,0,0.125
TWL,201,4022,0.263681592039801
1978,57,0,0.210526315789474
1980,61,0,0.311475409836066
1981,42,4022,0.5
1982,50,0,0.06
Q1,43,0,0.0930232558139535
Q2,73,0,0.0410958904109589
Q3,54,0,0.555555555555556
Q4,40,4022,0.45
