"marginalFLAG","n","landing","coverage"
"BRG",6,0,1
"MNT",88,0,0.704545454545455
"MRO",64,0,0.84375
"OSF",52,20292,0.403846153846154
"HKL",1,0,1
"NET",8,0,1
"TWL",201,20292,0.666666666666667
"1978",57,0,0.456140350877193
"1980",61,0,0.721311475409836
"1981",42,0,0.833333333333333
"1982",50,20292,0.76
"Q1",43,0,0.395348837209302
"Q2",73,0,0.712328767123288
"Q3",54,20292,0.722222222222222
"Q4",40,0,0.875
