margSRKR,n,landing,coverage
BDG,12,0,0.416666666666667
BRG,401,8183,0.259351620947631
CRS,60,0,0.183333333333333
ERK,459,0,0.305010893246187
MNT,163,0,0.312883435582822
MRO,164,0,0.225609756097561
OSF,36,0,0.25
HKL,124,0,0.17741935483871
NET,14,0,0
TWL,1157,8183,0.289541918755402
1978,124,0,0.306451612903226
1979,102,0,0.205882352941176
1980,271,0,0.505535055350554
1981,237,0,0.265822784810127
1982,249,0,0.0120481927710843
1983,312,8183,0.304487179487179
Q1,228,0,0.223684210526316
Q2,390,0,0.341025641025641
Q3,437,0,0.288329519450801
Q4,240,8183,0.195833333333333
