margSRKR,n,landing,coverage
BDG,12,0,1
BRG,401,8183,0.890274314214464
CRS,60,0,1
ERK,459,0,0.873638344226579
MNT,163,0,0.914110429447853
MRO,164,0,0.890243902439024
OSF,36,0,0.861111111111111
HKL,124,0,0.879032258064516
NET,14,0,1
TWL,1157,8183,0.892826274848747
1978,124,0,0.959677419354839
1979,102,0,1
1980,271,0,0.92619926199262
1981,237,0,0.924050632911392
1982,249,0,0.847389558232932
1983,312,8183,0.814102564102564
Q1,228,0,0.864035087719298
Q2,390,0,0.969230769230769
Q3,437,0,0.853546910755149
Q4,240,8183,0.866666666666667
