species,mad
REDS,3.56121462803666e-06
RSTN,3.66685419098519e-06
MXRF,3.81887866335355e-06
GSPT,3.82141433975785e-06
CMEL,3.83053704129319e-06
BRNZ,3.83389429646426e-06
SBLY,3.85893990575279e-06
SLGR,3.90149681255409e-06
POP,3.91005385717122e-06
PNKR,3.92993798998564e-06
STRK,3.94504617517475e-06
ARRA,3.95335354144812e-06
YMTH,3.96368763891975e-06
GSRK,4.02185001270539e-06
FLAG,4.05338007399495e-06
SNOS,4.06822888219505e-06
RDBD,4.08268132556333e-06
STAR,4.10071282293466e-06
GBLC,4.14988497267068e-06
CWCD,4.3237571194216e-06
SHRP,4.47896944953826e-06
BLGL,4.56920243210452e-06
SQRS,4.76476783627837e-06
CNRY,4.97058524911919e-06
BRWN,5.06340711121786e-06
OLVE,5.08648568741561e-06
YEYE,5.11249448003651e-06
COPP,5.23447073169166e-06
VRML,5.32904370057643e-06
CLPR,5.5886071265152e-06
BLUR,5.81229937637602e-06
DBRK,5.87267542293498e-06
ROSY,5.99179496121504e-06
BLCK,6.06841900670306e-06
SPKL,6.16913197462581e-06
WDOW,6.22645883506814e-06
BANK,6.26672736557716e-06
BCAC,7.19827790585536e-06
REYE,7.49127125954075e-06
YTRK,7.6377536504828e-06
TREE,7.6804958763532e-06
GRAS,8.03772135037652e-06
HBRK,8.25659515662193e-06
CHNA,8.5451738394611e-06
BYEL,9.11945584718298e-06
QLBK,9.84486639644656e-06
TIGR,1.01422790071843e-05
SWSP,1.22414403262207e-05
PRRK,1.2911221432164e-05
SRKR,1.39213383175957e-05
