"marginalSABL","n","landing","coverage"
"BRG",6,0,0.833333333333333
"MNT",88,4753,0.556818181818182
"MRO",64,0,0.8125
"OSF",52,0,0.480769230769231
"HKL",1,0,1
"NET",8,0,1
"TWL",201,4753,0.606965174129353
"1978",57,4753,0.789473684210526
"1980",61,0,0.557377049180328
"1981",42,0,0.80952380952381
"1982",50,0,0.36
"Q1",43,4753,0.558139534883721
"Q2",73,0,0.506849315068493
"Q3",54,0,0.759259259259259
"Q4",40,0,0.725
