margRSTN,n,landing,coverage
BDG,31,0,0.451612903225806
BRG,420,1338,0.785714285714286
CRS,73,157,0.821917808219178
ERK,533,6340,0.521575984990619
MNT,249,0,0.859437751004016
MRO,201,0,0.840796019900497
OSF,65,0,0.846153846153846
HKL,128,0,0.9609375
NET,24,0,0.25
TWL,1420,7835,0.697887323943662
1978,124,47,0.596774193548387
1979,102,244,0.843137254901961
1980,271,0,0.952029520295203
1981,237,0,0.649789029535865
1982,249,1495,0.594377510040161
1983,312,4631,0.705128205128205
1984,277,1418,0.649819494584838
Q1,277,1414,0.787003610108303
Q2,441,5410,0.598639455782313
Q3,534,1011,0.739700374531835
Q4,320,0,0.759375
