"marginalCBZN","n","landing","coverage"
"BDG",9,0,0.444444444444444
"BRG",326,0,0.138036809815951
"CRS",50,0,0.36
"ERK",323,0,0.501547987616099
"MNT",108,0,0.157407407407407
"MRO",138,125,0.188405797101449
"OSF",29,0,0
"HKL",110,125,0.136363636363636
"NET",6,0,0
"TWL",867,0,0.296424452133795
"1978",124,0,0.306451612903226
"1979",102,125,0.450980392156863
"1980",271,0,0.280442804428044
"1981",237,0,0.253164556962025
"1982",249,0,0.208835341365462
"Q1",162,0,0.296296296296296
"Q2",289,125,0.339100346020761
"Q3",340,0,0.179411764705882
"Q4",192,0,0.338541666666667
