margSLGR,n,landing,coverage
BDG,9,0,1
BRG,326,0,0.993865030674847
CRS,50,0,0.96
ERK,323,1894,0.718266253869969
MNT,108,0,0.777777777777778
MRO,138,0,0.971014492753623
OSF,29,0,0.931034482758621
HKL,110,0,0.963636363636364
NET,6,0,1
TWL,867,1894,0.860438292964245
1978,124,0,0.862903225806452
1979,102,1894,0.950980392156863
1980,271,0,1
1981,237,0,0.742616033755274
1982,249,0,0.831325301204819
Q1,162,1894,0.907407407407407
Q2,289,0,0.844290657439446
Q3,340,0,0.811764705882353
Q4,192,0,0.994791666666667
