margSLGR,n,landing,coverage
BDG,9,0,0
BRG,326,0,0.552147239263804
CRS,50,0,0.34
ERK,323,1894,0.287925696594427
MNT,108,0,0.398148148148148
MRO,138,0,0.456521739130435
OSF,29,0,0.379310344827586
HKL,110,0,0.463636363636364
NET,6,0,0.666666666666667
TWL,867,1894,0.405997693194925
1978,124,0,0.508064516129032
1979,102,1894,0.53921568627451
1980,271,0,0.542435424354244
1981,237,0,0.282700421940928
1982,249,0,0.301204819277108
Q1,162,1894,0.518518518518518
Q2,289,0,0.525951557093426
Q3,340,0,0.311764705882353
Q4,192,0,0.338541666666667
