margPNKR,n,landing,coverage
BRG,6,0,0.666666666666667
MNT,88,745,0.295454545454545
MRO,64,0,0.34375
OSF,52,0,0.423076923076923
HKL,1,0,0
NET,8,0,1
TWL,201,745,0.328358208955224
1978,57,745,0.368421052631579
1980,61,0,0.311475409836066
1981,42,0,0.357142857142857
1982,50,0,0.38
Q1,43,745,0.255813953488372
Q2,73,0,0.438356164383562
Q3,54,0,0.351851851851852
Q4,40,0,0.3
