margCBZN,n,landing,coverage
BDG,9,0,1
BRG,326,0,0.95398773006135
CRS,50,0,1
ERK,323,0,0.993808049535604
MNT,108,0,0.990740740740741
MRO,138,125,0.949275362318841
OSF,29,0,0.862068965517241
HKL,110,125,0.936363636363636
NET,6,0,1
TWL,867,0,0.974625144175317
1978,124,0,0.991935483870968
1979,102,125,0.970588235294118
1980,271,0,0.981549815498155
1981,237,0,0.919831223628692
1982,249,0,0.995983935742972
Q1,162,0,0.981481481481482
Q2,289,125,0.993079584775087
Q3,340,0,0.982352941176471
Q4,192,0,0.90625
