margRSTN,n,landing,coverage
BDG,9,0,0.444444444444444
BRG,326,1338,0.662576687116564
CRS,50,157,0.98
ERK,323,291,0.990712074303406
MNT,108,0,0.555555555555556
MRO,138,0,0.855072463768116
OSF,29,0,0.793103448275862
HKL,110,0,0.781818181818182
NET,6,0,0.666666666666667
TWL,867,1786,0.807381776239908
1978,124,47,0.717741935483871
1979,102,244,0.735294117647059
1980,271,0,0.800738007380074
1981,237,0,0.856540084388186
1982,249,1495,0.827309236947791
Q1,162,0,0.845679012345679
Q2,289,1582,0.671280276816609
Q3,340,204,0.844117647058824
Q4,192,0,0.895833333333333
