margOLVE,n,landing,coverage
BDG,9,0,1
BRG,326,0,0.812883435582822
CRS,50,0,0.82
ERK,323,0,0.718266253869969
MNT,108,7525,0.527777777777778
MRO,138,17817,0.608695652173913
OSF,29,0,0.96551724137931
HKL,110,24120,0.818181818181818
NET,6,0,0.166666666666667
TWL,867,1222,0.720876585928489
1978,124,0,0.943548387096774
1979,102,4165,0.607843137254902
1980,271,6674,0.494464944649447
1981,237,374,0.90295358649789
1982,249,14129,0.759036144578313
Q1,162,0,0.962962962962963
Q2,289,5016,0.685121107266436
Q3,340,19210,0.702941176470588
Q4,192,1116,0.640625
