margREDS,n,landing,coverage
BDG,56,0,1
BRG,457,4464,0.87964989059081
CRS,82,0,0.926829268292683
ERK,594,106846,0.730639730639731
MNT,344,0,0.866279069767442
MRO,266,0,0.890977443609023
OSF,104,0,0.826923076923077
HKL,138,0,0.891304347826087
NET,47,0,0.957446808510638
TWL,1718,111310,0.827124563445867
1978,124,0,1
1979,102,0,0.901960784313726
1980,271,3996,0.955719557195572
1981,237,468,0.974683544303797
1982,249,4155,0.839357429718876
1983,312,99338,0.426282051282051
1984,277,2941,0.884476534296029
1985,331,412,0.894259818731118
Q1,339,1180,0.849557522123894
Q2,531,94797,0.785310734463277
Q3,645,11271,0.863565891472868
Q4,388,4062,0.842783505154639
