margREDS,n,landing,coverage
BDG,56,0,1
BRG,457,4464,0.993435448577681
CRS,82,0,1
ERK,594,106846,0.97979797979798
MNT,344,0,1
MRO,266,0,1
OSF,104,0,1
HKL,138,0,1
NET,47,0,1
TWL,1718,111310,0.991268917345751
1978,124,0,1
1979,102,0,1
1980,271,3996,0.992619926199262
1981,237,468,0.9957805907173
1982,249,4155,0.991967871485944
1983,312,99338,0.977564102564103
1984,277,2941,0.996389891696751
1985,331,412,0.993957703927492
Q1,339,1180,0.994100294985251
Q2,531,94797,0.988700564971751
Q3,645,11271,0.993798449612403
Q4,388,4062,0.992268041237113
