margKLPG,n,landing,coverage
BRG,6,0,0
MNT,88,337,0.329545454545455
MRO,64,0,0.15625
OSF,52,0,0.807692307692308
HKL,1,0,0
NET,8,337,0.125
TWL,201,0,0.398009950248756
1978,57,337,0.596491228070175
1980,61,0,0.475409836065574
1981,42,0,0.19047619047619
1982,50,0,0.2
Q1,43,0,0.255813953488372
Q2,73,337,0.410958904109589
Q3,54,0,0.518518518518518
Q4,40,0,0.3
