margLCOD,n,landing,coverage
BDG,9,0,1
BRG,326,26912,0.898773006134969
CRS,50,0,1
ERK,323,0,0.962848297213622
MNT,108,45746,0.916666666666667
MRO,138,142506,0.876811594202899
OSF,29,0,1
HKL,110,9396,0.945454545454545
NET,6,2863,0.5
TWL,867,202905,0.928489042675894
1978,124,3899,0.717741935483871
1979,102,7166,0.941176470588235
1980,271,177136,0.940959409594096
1981,237,26525,0.991561181434599
1982,249,438,0.951807228915663
Q1,162,4993,0.969135802469136
Q2,289,70244,0.920415224913495
Q3,340,122173,0.976470588235294
Q4,192,17754,0.817708333333333
