margLCOD,n,landing,coverage
BDG,9,0,1
BRG,326,26912,0.996932515337423
CRS,50,0,1
ERK,323,0,1
MNT,108,45746,0.981481481481482
MRO,138,142506,0.956521739130435
OSF,29,0,1
HKL,110,9396,1
NET,6,2863,1
TWL,867,202905,0.98961937716263
1978,124,3899,1
1979,102,7166,1
1980,271,177136,0.966789667896679
1981,237,26525,1
1982,249,438,1
Q1,162,4993,1
Q2,289,70244,0.97923875432526
Q3,340,122173,0.991176470588235
Q4,192,17754,1
