margSABL,n,landing,coverage
BDG,1,0,1
BRG,6,0,0
MNT,92,4753,0.0978260869565217
MRO,66,0,0.484848484848485
OSF,63,0,0.46031746031746
HKL,1,0,0
NET,8,0,0
TWL,219,4753,0.324200913242009
1978,57,4753,0.228070175438596
1980,61,0,0.344262295081967
1981,42,0,0.428571428571429
1982,50,0,0.26
1983,18,0,0.333333333333333
Q1,45,4753,0.422222222222222
Q2,79,0,0.240506329113924
Q3,59,0,0.288135593220339
Q4,45,0,0.355555555555556
