margPNKR,n,landing,coverage
BRG,6,0,1
MNT,88,745,0.988636363636364
MRO,64,0,0.96875
OSF,52,0,0.884615384615385
HKL,1,0,1
NET,8,0,1
TWL,201,745,0.955223880597015
1978,57,745,0.87719298245614
1980,61,0,1
1981,42,0,1
1982,50,0,0.96
Q1,43,745,0.837209302325581
Q2,73,0,1
Q3,54,0,0.962962962962963
Q4,40,0,1
