margCNRY,n,landing,coverage
BDG,4,14902,0.5
BRG,6,33886,0.333333333333333
MNT,95,692,0.873684210526316
MRO,77,72636,0.909090909090909
OSF,63,90502,0.841269841269841
HKL,1,0,1
NET,8,692,0.875
TWL,236,211926,0.855932203389831
1978,57,19046,0.701754385964912
1980,61,83956,0.868852459016393
1981,42,63839,0.880952380952381
1982,50,30002,0.98
1983,18,670,0.944444444444444
1984,6,14902,0.666666666666667
1985,11,203,0.909090909090909
Q1,55,28268,0.909090909090909
Q2,86,96091,0.906976744186046
Q3,59,76528,0.677966101694915
Q4,45,11731,0.933333333333333
