margYMTH,n,landing,coverage
BDG,9,0,0.888888888888889
BRG,326,1535,0.319018404907975
CRS,50,0,0.08
ERK,323,0,0.278637770897833
MNT,108,0,0.398148148148148
MRO,138,0,0.27536231884058
OSF,29,0,0.344827586206897
HKL,110,0,0.190909090909091
NET,6,0,0.833333333333333
TWL,867,1535,0.312572087658593
1978,124,0,0.25
1979,102,1535,0.57843137254902
1980,271,0,0.306273062730627
1981,237,0,0.194092827004219
1982,249,0,0.313253012048193
Q1,162,0,0.123456790123457
Q2,289,0,0.0934256055363322
Q3,340,0,0.552941176470588
Q4,192,1535,0.322916666666667
