margFLAG,n,landing,coverage
BRG,6,0,0.166666666666667
MNT,88,0,0.386363636363636
MRO,64,0,0.453125
OSF,52,20292,0.519230769230769
HKL,1,0,0
NET,8,0,0.75
TWL,201,20292,0.422885572139304
1978,57,0,0.56140350877193
1980,61,0,0.39344262295082
1981,42,0,0.619047619047619
1982,50,20292,0.18
Q1,43,0,0.534883720930233
Q2,73,0,0.506849315068493
Q3,54,20292,0.518518518518518
Q4,40,0,0.075
