margTIGR,n,landing,coverage
BDG,31,2766,0.0967741935483871
BRG,420,0,0.0833333333333333
CRS,73,0,0.123287671232877
ERK,533,0,0.110694183864916
MNT,249,0,0.168674698795181
MRO,201,0,0.27363184079602
OSF,65,0,0.0769230769230769
HKL,128,0,0.3671875
NET,24,0,0.0416666666666667
TWL,1420,2766,0.112676056338028
1978,124,0,0.0403225806451613
1979,102,0,0.205882352941176
1980,271,0,0.029520295202952
1981,237,2766,0.0843881856540084
1982,249,0,0.27710843373494
1983,312,0,0.192307692307692
1984,277,0,0.0902527075812274
Q1,277,0,0.259927797833935
Q2,441,0,0.126984126984127
Q3,534,0,0.0318352059925094
Q4,320,2766,0.196875
