margYMTH,n,landing,coverage
BDG,9,0,1
BRG,326,1535,0.901840490797546
CRS,50,0,0.8
ERK,323,0,0.786377708978328
MNT,108,0,0.759259259259259
MRO,138,0,0.72463768115942
OSF,29,0,0.96551724137931
HKL,110,0,0.8
NET,6,0,0.333333333333333
TWL,867,1535,0.826989619377163
1978,124,0,0.967741935483871
1979,102,1535,0.980392156862745
1980,271,0,0.856088560885609
1981,237,0,0.915611814345992
1982,249,0,0.55421686746988
Q1,162,0,0.734567901234568
Q2,289,0,0.788927335640138
Q3,340,0,0.814705882352941
Q4,192,1535,0.953125
