"marginalBRWN","n","landing","coverage"
"BRG",6,0,0.833333333333333
"MNT",88,0,0.284090909090909
"MRO",64,3617,0.546875
"OSF",52,0,0.25
"HKL",1,0,1
"NET",8,0,0
"TWL",201,3617,0.383084577114428
"1978",57,0,0
"1980",61,0,0.442622950819672
"1981",42,0,0.714285714285714
"1982",50,3617,0.42
"Q1",43,3617,0.209302325581395
"Q2",73,0,0.452054794520548
"Q3",54,0,0.314814814814815
"Q4",40,0,0.475
