margGBLC,n,landing,coverage
BRG,6,0,0
MNT,88,0,0.0681818181818182
MRO,64,15254,0.3125
OSF,52,0,0.134615384615385
HKL,1,0,1
NET,8,0,0.125
TWL,201,15254,0.154228855721393
1978,57,0,0.140350877192982
1980,61,4068,0.19672131147541
1981,42,8019,0.261904761904762
1982,50,3167,0.04
Q1,43,3167,0.0465116279069767
Q2,73,0,0.191780821917808
Q3,54,0,0.0185185185185185
Q4,40,12087,0.4
