"marginalVRML","n","landing","coverage"
"BRG",6,0,1
"MNT",88,0,1
"MRO",64,56066,0.96875
"OSF",52,21191,1
"HKL",1,9249,0
"NET",8,0,1
"TWL",201,68008,0.995024875621891
"1978",57,0,1
"1980",61,77257,0.967213114754098
"1981",42,0,1
"1982",50,0,1
"Q1",43,18759,0.976744186046512
"Q2",73,46817,0.986301369863014
"Q3",54,11681,1
"Q4",40,0,1
