margARRA,n,landing,coverage
BRG,6,0,0.333333333333333
MNT,88,0,0.545454545454545
MRO,64,5603,0.875
OSF,52,1155,0.769230769230769
HKL,1,0,1
NET,8,0,1
TWL,201,6758,0.681592039800995
1978,57,0,0.333333333333333
1980,61,5257,0.819672131147541
1981,42,0,0.952380952380952
1982,50,1501,0.74
Q1,43,1501,0.488372093023256
Q2,73,1155,0.821917808219178
Q3,54,0,0.574074074074074
Q4,40,4102,0.85
