"marginalPOP","n","landing","coverage"
"BDG",27,0,0.740740740740741
"BRG",12,0,0.833333333333333
"CRS",3,0,1
"ERK",55,0,0.309090909090909
"MNT",11,0,1
"MRO",1,0,1
"OSF",20,0,0.1
"TWL",129,0,0.496124031007752
"1981",37,0,0.648648648648649
"1982",92,0,0.434782608695652
"Q1",33,0,0.242424242424242
"Q2",13,0,0.153846153846154
"Q3",37,0,0.675675675675676
"Q4",46,0,0.630434782608696
