species,mad
REDS,8.51096846156371e-06
SBLY,8.54556490415711e-06
GSPT,8.60954552951218e-06
ARRA,8.62266804917412e-06
SNOS,8.6401236358211e-06
FLAG,8.6919624625024e-06
GSRK,8.7562342373279e-06
RSTN,8.79797937345061e-06
BLGL,9.18899371110516e-06
COPP,9.24483305126209e-06
STRK,9.26342203052305e-06
BRWN,9.29339862678442e-06
STAR,9.36756476648357e-06
GBLC,9.38305886062822e-06
SHRP,9.44561256267032e-06
RDBD,9.58537192470278e-06
YTRK,9.64689487759749e-06
BANK,1.02522361098213e-05
OLVE,1.04890252222816e-05
DBRK,1.0887765553066e-05
CLPR,1.09510502262833e-05
POP,1.18284153833633e-05
CWCD,1.18746160523603e-05
ROSY,1.1917164859919e-05
BLUR,1.19623399255512e-05
SLGR,1.20241880080111e-05
BLCK,1.22241404452919e-05
BRNZ,1.2359286375021e-05
WDOW,1.29701597374371e-05
REYE,1.33841863784458e-05
VRML,1.35164991584216e-05
YEYE,1.35194779234786e-05
MXRF,1.49673497568112e-05
BCAC,1.67346675919493e-05
GRAS,1.84171792472277e-05
CNRY,2.25118591269369e-05
QLBK,2.62824808290746e-05
YMTH,2.69949078802204e-05
SWSP,2.76518045450522e-05
TIGR,2.92011946131108e-05
SPKL,3.22677991778863e-05
