"year","species","n","landing","coverage"
1980,"REDS",271,18891334,0.782287822878229
1980,"REX",271,18891334,0.188191881918819
1980,"REYE",271,18891334,0.250922509225092
1980,"ROSY",271,18891334,0.712177121771218
1980,"RSTN",271,18891334,0.535055350553506
1980,"SBLY",271,18891334,0.505535055350554
1980,"SHRP",271,18891334,0.376383763837638
1980,"SLGR",271,18891334,0.136531365313653
1980,"SNOS",271,18891334,0.922509225092251
1980,"SPKL",271,18891334,0.988929889298893
1980,"SSPN",271,18891334,0.952029520295203
1980,"STAR",271,18891334,0.922509225092251
1980,"STRK",271,18891334,0.896678966789668
1980,"SWSP",271,18891334,0.553505535055351
1980,"TIGR",271,18891334,0.261992619926199
1980,"URCK",271,18891334,0.328413284132841
1980,"VRML",271,18891334,0.940959409594096
1980,"WDOW",271,18891334,0.66789667896679
1980,"YEYE",271,18891334,0.952029520295203
1980,"YMTH",271,18891334,0.44280442804428
1980,"YTRK",271,18891334,0.848708487084871
1981,"ARRA",237,16465988,0.983122362869198
1981,"BANK",237,16465988,0.894514767932489
1981,"BCAC",237,16465988,0.69620253164557
1981,"BLCK",237,16465988,0.932489451476793
1981,"BLGL",237,16465988,0.978902953586498
1981,"BLUR",237,16465988,0.9957805907173
1981,"BRNZ",237,16465988,0.341772151898734
1981,"BRWN",237,16465988,0.978902953586498
1981,"CBZN",237,16465988,0.126582278481013
1981,"CLPR",237,16465988,0.759493670886076
1981,"CNRY",237,16465988,0.755274261603376
1981,"COPP",237,16465988,0.915611814345992
1981,"CWCD",237,16465988,0.983122362869198
1981,"DBRK",237,16465988,0.856540084388186
1981,"EGLS",237,16465988,0.0843881856540084
1981,"FLAG",237,16465988,0.932489451476793
1981,"GBLC",237,16465988,0.79746835443038
1981,"GRAS",237,16465988,0.0253164556962025
1981,"GSPT",237,16465988,0.852320675105485
1981,"GSRK",237,16465988,0.936708860759494
1981,"LCOD",237,16465988,0.991561181434599
1981,"LSPN",237,16465988,0.286919831223629
1981,"MXRF",237,16465988,0.354430379746835
1981,"OLVE",237,16465988,0.978902953586498
1981,"POP",237,16465988,0.987341772151899
1981,"QLBK",237,16465988,0.30379746835443
1981,"RDBD",237,16465988,0.919831223628692
1981,"REDS",237,16465988,0.721518987341772
1981,"REX",237,16465988,0.253164556962025
1981,"REYE",237,16465988,0.29957805907173
1981,"ROSY",237,16465988,0.523206751054852
1981,"RSTN",237,16465988,0.594936708860759
1981,"SBLY",237,16465988,0.708860759493671
1981,"SHRP",237,16465988,0.607594936708861
1981,"SLGR",237,16465988,0.354430379746835
1981,"SNOS",237,16465988,0.856540084388186
1981,"SPKL",237,16465988,0.978902953586498
1981,"SSPN",237,16465988,0.89873417721519
1981,"STAR",237,16465988,0.894514767932489
1981,"STRK",237,16465988,0.978902953586498
1981,"SWSP",237,16465988,0.215189873417722
1981,"TIGR",237,16465988,0.0928270042194093
1981,"URCK",237,16465988,0.333333333333333
1981,"VRML",237,16465988,0.932489451476793
1981,"WDOW",237,16465988,0.670886075949367
1981,"YEYE",237,16465988,0.949367088607595
1981,"YMTH",237,16465988,0.40506329113924
1981,"YTRK",237,16465988,0.831223628691983
1982,"ARRA",249,11122887,0.943775100401606
1982,"BANK",249,11122887,0.847389558232932
1982,"BCAC",249,11122887,0.586345381526104
1982,"BLCK",249,11122887,0.895582329317269
1982,"BLGL",249,11122887,0.963855421686747
1982,"BLUR",249,11122887,0.987951807228916
1982,"BRNZ",249,11122887,0.465863453815261
1982,"BRWN",249,11122887,0.85140562248996
1982,"CBZN",249,11122887,0.381526104417671
1982,"CLPR",249,11122887,0.759036144578313
1982,"CNRY",249,11122887,0.694779116465863
1982,"COPP",249,11122887,0.93574297188755
1982,"CWCD",249,11122887,0.983935742971888
1982,"DBRK",249,11122887,0.791164658634538
1982,"EGLS",249,11122887,0.281124497991968
1982,"FLAG",249,11122887,0.791164658634538
1982,"GBLC",249,11122887,0.951807228915663
1982,"GRAS",249,11122887,0.132530120481928
1982,"GSPT",249,11122887,0.859437751004016
1982,"GSRK",249,11122887,0.943775100401606
1982,"LCOD",249,11122887,0.995983935742972
1982,"LSPN",249,11122887,0.289156626506024
1982,"MXRF",249,11122887,0.393574297188755
1982,"OLVE",249,11122887,0.967871485943775
1982,"POP",249,11122887,0.907630522088353
1982,"QLBK",249,11122887,0.265060240963855
1982,"RDBD",249,11122887,0.931726907630522
1982,"REDS",249,11122887,0.610441767068273
1982,"REX",249,11122887,0.184738955823293
1982,"REYE",249,11122887,0.0803212851405622
1982,"ROSY",249,11122887,0.506024096385542
1982,"RSTN",249,11122887,0.44578313253012
1982,"SBLY",249,11122887,0.381526104417671
1982,"SHRP",249,11122887,0.281124497991968
1982,"SLGR",249,11122887,0.232931726907631
1982,"SNOS",249,11122887,0.883534136546185
1982,"SPKL",249,11122887,0.955823293172691
1982,"SSPN",249,11122887,0.951807228915663
1982,"STAR",249,11122887,0.991967871485944
1982,"STRK",249,11122887,0.951807228915663
1982,"SWSP",249,11122887,0.42570281124498
1982,"TIGR",249,11122887,0.614457831325301
1982,"URCK",249,11122887,0.409638554216867
1982,"VRML",249,11122887,0.927710843373494
1982,"WDOW",249,11122887,0.767068273092369
1982,"YEYE",249,11122887,0.959839357429719
1982,"YMTH",249,11122887,0.176706827309237
1982,"YTRK",249,11122887,0.763052208835341
