margURCK,n,landing,coverage
BDG,9,0,0.888888888888889
BRG,326,0,0.171779141104294
CRS,50,44,0.5
ERK,323,0,0.303405572755418
MNT,108,0,0.462962962962963
MRO,138,0,0.347826086956522
OSF,29,0,0.206896551724138
HKL,110,0,0.454545454545455
NET,6,0,0.166666666666667
TWL,867,44,0.27681660899654
1978,124,0,0.0241935483870968
1979,102,0,0.46078431372549
1980,271,44,0.169741697416974
1981,237,0,0.485232067510549
1982,249,0,0.321285140562249
Q1,162,0,0.481481481481481
Q2,289,0,0.183391003460208
Q3,340,44,0.267647058823529
Q4,192,0,0.359375
