margWDOW,n,landing,coverage
BDG,52,6097718,0.0769230769230769
BRG,51,868392,0
CRS,22,3991951,0.0454545454545455
ERK,165,4426696,0.127272727272727
MNT,21,466222,0.0952380952380952
MRO,6,154639,0.333333333333333
OSF,29,1640842,0.137931034482759
NET,9,788017,0.222222222222222
TWL,337,16858443,0.0949554896142433
1981,37,331497,0.027027027027027
1982,92,5653794,0.130434782608696
1983,73,6074447,0.136986301369863
1984,69,2585747,0.0869565217391304
1985,75,3000975,0.0666666666666667
Q1,108,4621975,0.111111111111111
Q2,79,4411844,0.0759493670886076
Q3,90,6987353,0.133333333333333
Q4,69,1625288,0.0579710144927536
