margURCK,n,landing,coverage
BDG,9,0,0.111111111111111
BRG,326,0,0.193251533742331
CRS,50,44,0.06
ERK,323,0,0.154798761609907
MNT,108,0,0.305555555555556
MRO,138,0,0.63768115942029
OSF,29,0,0.551724137931034
HKL,110,0,0.745454545454545
NET,6,0,0
TWL,867,44,0.19838523644752
1978,124,0,0.0725806451612903
1979,102,0,0.441176470588235
1980,271,44,0.125461254612546
1981,237,0,0.493670886075949
1982,249,0,0.196787148594378
Q1,162,0,0.364197530864198
Q2,289,0,0.173010380622837
Q3,340,44,0.241176470588235
Q4,192,0,0.328125
