margWDOW,n,landing,coverage
BDG,31,78616,0.935483870967742
BRG,420,750565,0.978571428571429
CRS,73,242118,0.972602739726027
ERK,533,15827930,0.874296435272045
MNT,249,1217253,0.923694779116466
MRO,201,297455,0.985074626865672
OSF,65,1362714,0.953846153846154
HKL,128,241643,0.9921875
NET,24,733834,0.833333333333333
TWL,1420,18801174,0.929577464788732
1978,124,749148,0.943548387096774
1979,102,2751370,0.901960784313726
1980,271,10708990,0.870848708487085
1981,237,3288416,0.890295358649789
1982,249,655582,0.971887550200803
1983,312,870775,0.951923076923077
1984,277,752370,0.981949458483754
Q1,277,4170550,0.924187725631769
Q2,441,4463910,0.91609977324263
Q3,534,5831104,0.945692883895131
Q4,320,5311087,0.94375
