margDBRK,n,landing,coverage
BDG,27,0,0.740740740740741
BRG,12,0,0.5
CRS,3,0,1
ERK,55,0,0.490909090909091
MNT,11,0,0.181818181818182
MRO,1,0,1
OSF,20,0,0.7
TWL,129,0,0.565891472868217
1981,37,0,0.837837837837838
1982,92,0,0.456521739130435
Q1,33,0,0.666666666666667
Q2,13,0,0
Q3,37,0,0.297297297297297
Q4,46,0,0.869565217391304
