"marginalYMTH","n","landing","coverage"
"BDG",9,0,0.111111111111111
"BRG",326,1535,0.285276073619632
"CRS",50,0,0.2
"ERK",323,0,0.315789473684211
"MNT",108,0,0.277777777777778
"MRO",138,0,0.159420289855072
"OSF",29,0,0.413793103448276
"HKL",110,0,0.209090909090909
"NET",6,0,0.166666666666667
"TWL",867,1535,0.283737024221453
"1978",124,0,0.491935483870968
"1979",102,1535,0.588235294117647
"1980",271,0,0.206642066420664
"1981",237,0,0.278481012658228
"1982",249,0,0.108433734939759
"Q1",162,0,0.160493827160494
"Q2",289,0,0.339100346020761
"Q3",340,0,0.276470588235294
"Q4",192,1535,0.270833333333333
