margBCAC,n,landing,coverage
BDG,4,193333,1
BRG,6,172242,0.833333333333333
MNT,95,4346531,0.715789473684211
MRO,77,2765986,0.532467532467532
OSF,63,3176702,0.698412698412698
HKL,1,0,1
NET,8,145083,0.625
TWL,236,10509711,0.661016949152542
1978,57,1853861,0.807017543859649
1980,61,4271945,0.639344262295082
1981,42,2050399,0.547619047619048
1982,50,1990221,0.7
1983,18,309478,0.5
1984,6,175358,0.666666666666667
1985,11,3532,0.545454545454545
Q1,55,2147235,0.781818181818182
Q2,86,3951309,0.593023255813954
Q3,59,2789724,0.661016949152542
Q4,45,1766526,0.644444444444444
